scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6
s1_online_only,LEO_ONLY,12,0.0,400,2,7,ok,,0,1,51.96612500003539,97,1,24.53899999999999,10.31499999999994,1760874930831,1760874930848
s1_online_only,LEO_ONLY,12,0.0,400,2,8,ok,,0,1,50.98241700034123,97,1,24.158,10.717999999999961,1760874931102,1760874931118
s1_online_only,LEO_ONLY,12,0.0,400,2,9,ok,,0,1,50.909665995277464,97,1,24.246999999999996,10.6400000000001,1760874931354,1760874931370
s1_online_only,LEO_ONLY,12,0.0,400,2,10,ok,,0,1,50.37929200625513,97,1,24.163999999999998,10.713999999999942,1760874931613,1760874931629
s1_online_only,LEO_ONLY,12,0.0,600,1,1,ok,,0,1,50.565375000587665,97,1,23.897,10.49899999999991,1760874932503,1760874932520
s1_online_only,LEO_ONLY,12,0.0,600,1,2,ok,,0,1,51.126833001035266,97,1,24.376000000000005,10.816999999999894,1760874932774,1760874932792
s1_online_only,LEO_ONLY,12,0.0,600,1,3,ok,,0,1,50.97837500215974,97,1,23.750000000000004,10.632999999999925,1760874933048,1760874933063
s1_online_only,LEO_ONLY,12,0.0,600,1,4,ok,,0,1,52.1039579907665,97,1,23.648999999999997,10.639999999999986,1760874933311,1760874933326
s1_online_only,LEO_ONLY,12,0.0,600,1,5,ok,,0,1,52.495916999760084,97,1,24.055,10.570999999999913,1760874933577,1760874933592
s1_online_only,LEO_ONLY,12,0.0,600,1,6,ok,,0,1,50.14791700523347,97,1,23.798,10.3900000000001,1760874933833,1760874933849
s1_online_only,LEO_ONLY,12,0.0,600,1,7,ok,,0,1,49.485166993690655,97,1,23.75899999999999,10.913999999999987,1760874934100,1760874934115
s1_online_only,LEO_ONLY,12,0.0,600,1,8,ok,,0,1,48.62745800346602,97,1,23.653000000000002,10.56000000000006,1760874934367,1760874934381
s1_online_only,LEO_ONLY,12,0.0,600,1,9,ok,,0,1,47.87266699713655,97,1,23.367999999999995,10.287999999999897,1760874934625,1760874934640
s1_online_only,LEO_ONLY,12,0.0,600,1,10,ok,,0,1,48.481624995474704,97,1,23.657999999999998,10.538999999999874,1760874934874,1760874934888
s1_online_only,LEO_ONLY,12,0.0,600,2,1,ok,,0,1,54.293791006784886,97,1,24.146,10.812000000000126,1760874935838,1760874935854
s1_online_only,LEO_ONLY,12,0.0,600,2,2,ok,,0,1,49.88037499424536,97,1,24.47699999999999,10.621999999999844,1760874936115,1760874936131
s1_online_only,LEO_ONLY,12,0.0,600,2,3,ok,,0,1,49.44600000453647,97,1,24.307999999999996,10.745000000000005,1760874936381,1760874936397
s1_online_only,LEO_ONLY,12,0.0,600,2,4,ok,,0,1,54.77658400195651,97,1,23.813,10.509999999999877,1760874936631,1760874936647
s1_online_only,LEO_ONLY,12,0.0,600,2,5,ok,,0,1,48.97712501406204,97,1,23.697999999999993,10.442999999999984,1760874936888,1760874936902
s1_online_only,LEO_ONLY,12,0.0,600,2,6,ok,,0,1,52.44470899924636,97,1,23.889999999999997,10.644000000000005,1760874937142,1760874937159
s1_online_only,LEO_ONLY,12,0.0,600,2,7,ok,,0,1,49.90670799452346,97,1,23.755,10.547000000000025,1760874937408,1760874937423
s1_online_only,LEO_ONLY,12,0.0,600,2,8,ok,,0,1,53.62962499202695,97,1,23.686999999999998,10.532000000000039,1760874937662,1760874937678
s1_online_only,LEO_ONLY,12,0.0,600,2,9,ok,,0,1,49.766666008508764,97,1,23.377999999999993,10.436000000000035,1760874937922,1760874937936
s1_online_only,LEO_ONLY,12,0.0,600,2,10,ok,,0,1,52.18549999699462,97,1,24.089999999999996,10.493999999999915,1760874938185,1760874938201
s1_online_only,LEO_ONLY,12,0.0,900,1,1,ok,,0,1,54.15050000010524,97,1,24.488,10.88799999999992,1760874939168,1760874939184
s1_online_only,LEO_ONLY,12,0.0,900,1,2,ok,,0,1,51.78662500111386,97,1,24.134999999999994,10.538000000000011,1760874939425,1760874939443
s1_online_only,LEO_ONLY,12,0.0,900,1,3,ok,,0,1,53.74024999036919,97,1,24.084999999999997,10.586999999999762,1760874939678,1760874939694
s1_online_only,LEO_ONLY,12,0.0,900,1,4,ok,,0,1,51.95237499719951,97,1,24.451,10.530999999999949,1760874939946,1760874939961
s1_online_only,LEO_ONLY,12,0.0,900,1,5,ok,,0,1,49.87295799946878,97,1,23.608000000000004,10.489000000000033,1760874940200,1760874940216
s1_online_only,LEO_ONLY,12,0.0,900,1,6,ok,,0,1,49.606833010329865,97,1,23.81,10.480999999999995,1760874940462,1760874940476
s1_online_only,LEO_ONLY,12,0.0,900,1,7,ok,,0,1,51.82475000037812,97,1,23.744,10.345999999999776,1760874940711,1760874940726
s1_online_only,LEO_ONLY,12,0.0,900,1,8,ok,,0,1,50.038458008202724,97,1,23.543999999999993,10.516000000000076,1760874940972,1760874940989
s1_online_only,LEO_ONLY,12,0.0,900,1,9,ok,,0,1,48.459875004482456,97,1,23.579,10.416999999999916,1760874941224,1760874941239
s1_online_only,LEO_ONLY,12,0.0,900,1,10,ok,,0,1,49.70041698834393,97,1,23.682,10.616000000000213,1760874941476,1760874941493
s1_online_only,LEO_ONLY,12,0.0,900,2,1,ok,,0,1,54.340000002412125,97,1,23.815000000000005,10.654999999999973,1760874942486,1760874942503
s1_online_only,LEO_ONLY,12,0.0,900,2,2,ok,,0,1,53.935124989948235,97,1,23.629,10.503999999999905,1760874942752,1760874942770
s1_online_only,LEO_ONLY,12,0.0,900,2,3,ok,,0,1,49.369291999028064,97,1,23.668999999999997,10.340999999999894,1760874943010,1760874943025
s1_online_only,LEO_ONLY,12,0.0,900,2,4,ok,,0,1,52.8292499948293,97,1,24.077999999999996,10.386999999999944,1760874943272,1760874943289
s1_online_only,LEO_ONLY,12,0.0,900,2,5,ok,,0,1,51.13354200148024,97,1,23.714,10.38799999999992,1760874943528,1760874943543
s1_online_only,LEO_ONLY,12,0.0,900,2,6,ok,,0,1,49.33895899739582,97,1,23.694000000000003,10.423000000000002,1760874943788,1760874943803
s1_online_only,LEO_ONLY,12,0.0,900,2,7,ok,,0,1,51.143500008038245,97,1,23.353000000000005,10.441000000000031,1760874944035,1760874944050
s1_online_only,LEO_ONLY,12,0.0,900,2,8,ok,,0,1,47.44387499522418,97,1,23.327000000000005,10.298999999999978,1760874944302,1760874944317
s1_online_only,LEO_ONLY,12,0.0,900,2,9,ok,,0,1,49.72020800050814,97,1,23.727999999999998,10.304999999999836,1760874944554,1760874944571
s1_online_only,LEO_ONLY,12,0.0,900,2,10,ok,,0,1,51.619916994241066,97,1,23.783999999999995,10.5300000000002,1760874944819,1760874944835
s1_online_only,LEO_ONLY,12,0.05,200,1,1,ok,,0,1,51.218709006207064,97,1,24.418000000000006,10.505999999999858,1760874945790,1760874945805
