mode,scenario,run_index,timeout_ms,pto,status,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,processing_ms_leo2,bytes_ue,bytes_leo2,msgs_ue,msgs_leo2,rtt_ms,jitter_ms,loss_pct,rate_mbps
LEO_ONLY,z1_online_only,11,400,2,ok,32.96737500000191,1020.0,1,3.488999999999997,13.300999999999988,13.281290999998419,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,12,400,2,ok,32.031584000002056,1021.0,1,3.719000000000001,13.239999999999952,13.220792000002035,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,13,400,2,ok,32.06704200000132,1020.0,1,3.6109999999999935,13.154000000000053,13.138292000000718,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,14,400,2,ok,33.50654100000128,1018.0,1,3.641000000000002,12.97300000000007,12.95141700000002,1018.0,1018.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,15,400,2,ok,34.254875000002016,1021.0,1,3.2779999999999987,13.34800000000007,13.32162499999967,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,16,400,2,ok,36.91599999999795,1020.0,1,3.6069999999999958,13.36200000000008,13.337958000001038,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,17,400,2,ok,29.818416999997766,1021.0,1,3.628999999999998,13.063999999999965,13.03670800000134,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,18,400,2,ok,34.93725099999878,1021.0,1,3.7130000000000045,12.997000000000071,12.969833000003206,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,19,400,2,ok,31.921833999998483,1020.0,1,3.5489999999999995,12.977999999999838,12.952957999999626,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,20,400,2,ok,33.73333400000078,1021.0,1,3.6690000000000005,12.886999999999944,12.861125000000584,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,1,600,2,ok,31.846500000000333,1020.0,1,3.471,13.065000000000055,13.044624999999144,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,2,600,2,ok,32.66212500000165,1020.0,1,3.570999999999998,13.271000000000072,13.253708999997116,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,3,600,2,ok,31.962750000001705,1019.0,1,3.5169999999999995,13.336999999999989,13.314125000000843,1019.0,1019.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,4,600,2,ok,32.96299999999874,1021.0,1,3.5939999999999976,13.348999999999933,13.32537500000086,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,5,600,2,ok,30.743583999999657,1020.0,1,3.632999999999999,13.34699999999998,13.321209000000778,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,6,600,2,ok,34.183834000000246,1021.0,1,3.5189999999999984,12.79600000000005,12.77895800000195,1021.0,1021.0,1,1,12,2,0.0,
