scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index,,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,21,ok,,0,1,89.643417,208,6,0.637,0.081,0.075,0.075,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.15,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,22,ok,,0,1,86.384125,208,6,0.86,0.113,0.075,0.075,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.15,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,23,ok,,0,1,77.159875,208,6,0.579,0.05,0.068,0.068,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.136,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,24,ok,,0,1,81.569084,208,6,1.05,0.113,0.075,0.075,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.15,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,25,ok,,0,1,81.888541,208,6,0.582,0.071,0.1,0.1,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.2,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,26,ok,,0,1,93.545083,208,6,0.858,0.099,0.064,0.064,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.128,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,27,ok,,0,1,67.484,208,6,0.626,0.112,0.071,0.071,0,1.76303E+12,1.76303E+12,light→light,0.64,,,2,3,0.666666667,0,0,,,,,,0,0,0.142,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,28,ok,,0,1,83.632958,208,6,0.431,0.027,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,29,ok,,0,1,87.589,208,6,0.515,0.05,0.046,0.046,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.092,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,30,ok,,0,1,84.057167,208,6,0.421,0.028,0.034,0.034,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.068,,,,,,,,,,,
