scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,24,ok,,0,1,23.096583,661,1,0.485,2.783,3.837042001,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,25,ok,,0,1,22.718792,661,1,0.518,2.721,3.677125,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,26,ok,,0,1,22.10975,661,1,0.521,2.834,3.885042001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,27,ok,,0,1,25.628292,661,1,0.943,3.899,8.437500001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,28,ok,,0,1,23.372167,661,1,0.507,2.786,3.88575,1.76275E+12,1.76275E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,29,ok,,0,1,23.603583,661,1,0.604,2.685,3.744958,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,30,ok,,0,1,21.506541,661,1,0.459,2.818,3.618917,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,31,ok,,0,1,24.207708,661,1,0.506,2.8,3.790583001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,32,ok,,0,1,21.759458,661,1,0.493,2.689,3.506790999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,33,ok,,0,1,25.469333,661,1,0.584,2.823,3.804125001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,34,ok,,0,1,22.215001,661,1,0.581,2.794,3.854708,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,35,ok,,0,1,22.730542,661,1,0.663,2.676,3.622792001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,36,ok,,0,1,21.331292,661,1,0.473,2.749,3.788083,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
