scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l1_online_only,LEO_ONLY,12,0,200,2,59,ok,,0,1,13.85104199,662,1,0.816,1.954,2.438791998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,60,ok,,0,1,17.3815,662,1,0.761,2.014,2.557375003,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,61,ok,,0,1,15.549958,662,1,0.524,1.799,2.375291006,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,62,ok,,0,1,13.722542,662,1,0.534,1.746,2.503374999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,63,ok,,0,1,13.53775,662,1,0.532,1.827,2.370832997,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,64,ok,,0,1,15.68341699,662,1,0.654,1.936,2.905749992,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,65,ok,,0,1,14.31145801,662,1,0.624,1.782,2.297833998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,66,ok,,0,1,15.56662501,662,1,0.534,1.825,2.593625002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,67,ok,,0,1,14.273583,662,1,0.528,1.899,2.428874999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,68,ok,,0,1,14.604667,662,1,0.623,2.019,3.255916992,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,69,ok,,0,1,15.02658299,662,1,0.746,1.91,2.480416995,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,70,ok,,0,1,17.63025,662,1,0.794,1.934,2.712917005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,71,ok,,0,1,16.33520899,662,1,0.556,1.794,2.294833001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,72,ok,,0,1,17.630042,662,1,0.731,2.237,2.651292001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,73,ok,,0,1,12.93862499,662,1,0.507,1.716,2.253208004,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,74,ok,,0,1,16.89770799,662,1,0.561,1.791,2.551459009,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,75,ok,,0,1,16.009,662,1,0.537,2.006,2.686291002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,76,ok,,0,1,17.48441601,662,1,1.133,2.313,3.073333006,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,77,ok,,0,1,14.032791,662,1,0.539,1.737,2.2245,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,78,ok,,0,1,14.808083,662,1,0.677,1.909,2.760666001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,79,ok,,0,1,15.291167,662,1,0.668,1.91,2.405666994,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,80,ok,,0,1,13.429917,662,1,0.541,1.766,2.527417004,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,81,ok,,0,1,14.53850001,662,1,0.538,1.817,2.298000007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,82,ok,,0,1,15.713542,662,1,0.968,1.963,2.614208002,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,83,ok,,0,1,15.524542,662,1,1.016,1.806,2.332667005,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,84,ok,,0,1,15.43179101,662,1,0.539,1.854,2.712166999,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,85,ok,,0,1,14.57341599,662,1,0.534,1.899,2.352958007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,86,ok,,0,1,13.394458,662,1,0.523,1.807,2.629166003,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,87,ok,,0,1,15.53812499,662,1,0.527,1.824,2.315250007,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,88,ok,,0,1,14.93508401,662,1,0.512,1.789,2.580749991,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,89,ok,,0,1,14.755166,662,1,0.501,1.749,2.243333001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,90,ok,,0,1,14.57245901,662,1,0.524,1.745,2.526458004,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,91,ok,,0,1,15.93445901,662,1,0.554,1.846,2.324041998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,92,ok,,0,1,14.91991701,662,1,0.537,1.896,2.442124998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,93,ok,,0,1,15.801708,662,1,0.504,1.894,2.462459001,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,94,ok,,0,1,14.451708,662,1,0.561,1.848,2.698665994,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,95,ok,,0,1,15.02587501,662,1,0.548,1.76,2.243124996,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,96,ok,,0,1,13.783334,662,1,0.542,1.832,2.594582998,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0,200,2,97,ok,,0,1,13.53216701,662,1,0.514,1.791,2.269834004,1.76253E+12,1.76253E+12,,,,,,,,,,,,,,,
