scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks
z2_rain_fade,RAIN_FADE,14,0.1,400,2,5,ok,,0,1,35.91433400015376,1021.0,1,3.7349999999999923,13.428999999999974,1762174932738,1762174932750,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,6,ok,,0,1,30.433999999786465,1021.0,1,3.836999999999996,13.36099999999999,1762174933076,1762174933086,light,0.8,80.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,7,ok,,0,1,35.03504200034513,1021.0,1,3.547000000000004,12.992999999999995,1762174933381,1762174933393,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,8,ok,,0,1,36.604957999770704,1020.0,1,3.6539999999999964,13.288999999999987,1762174933693,1762174933707,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,9,ok,,0,1,32.55562499998632,1021.0,1,3.6270000000000095,13.492999999999995,1762174934046,1762174934059,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,10,ok,,0,1,37.22975000027873,1020.0,1,3.700000000000003,13.670999999999992,1762174934400,1762174934412,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,11,ok,,0,1,32.021500000155356,1021.0,1,3.522999999999989,12.997000000000071,1762174934729,1762174934740,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,12,ok,,0,1,36.50587500032998,1020.0,1,3.5220000000000056,13.668999999999983,1762174935061,1762174935074,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,13,ok,,0,1,32.85816600009639,1020.0,1,3.7129999999999974,13.150000000000034,1762174935412,1762174935424,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,14,ok,,0,1,38.65425000003597,1021.0,1,3.5749999999999993,13.27699999999993,1762174935748,1762174935761,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,15,ok,,0,1,32.632207999995444,1020.0,1,3.518999999999995,12.951000000000022,1762174936064,1762174936076,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,16,ok,,0,1,35.21287499961545,1021.0,1,3.586999999999996,12.890999999999963,1762174936383,1762174936396,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,17,ok,,0,1,35.69079099997907,1019.0,1,3.6499999999999986,13.530999999999949,1762174936736,1762174936749,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,18,ok,,0,1,33.061417000226356,1021.0,1,3.5659999999999954,13.3839999999999,1762174937094,1762174937106,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,19,ok,,0,1,31.428250999852025,1020.0,1,3.6029999999999944,12.864000000000033,1762174937416,1762174937426,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.1,400,2,20,ok,,0,1,33.29070900008446,1021.0,1,3.6800000000000033,12.918000000000006,1762174937743,1762174937755,light,0.8,80.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,1,ok,,0,1,36.090958999920986,1020.0,1,3.575999999999997,13.024999999999977,1762174938176,1762174938189,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,2,ok,,0,1,31.945166000241443,1020.0,1,3.6260000000000048,13.091999999999985,1762174938506,1762174938518,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,3,ok,,0,1,36.26766699971995,1021.0,1,3.902000000000001,13.57400000000007,1762174938843,1762174938856,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,4,ok,,0,1,33.62416599975404,1021.0,1,3.6750000000000043,13.112999999999943,1762174939148,1762174939160,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,5,ok,,0,1,59.5926670002882,1020.0,1,3.7520000000000024,41.97200000000021,1762174939490,1762174939501,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,6,ok,,0,1,33.62062499991225,1020.0,1,3.6350000000000016,13.408999999999992,1762174939860,1762174939872,moderate,0.5,50.0,0.0,1,1,1.0,0,0
