scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ground,bytes_lj,bytes_ln,bytes_total,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,bytes_ue
g1_online_only,LEO_ONLY,12,0.0,200,2,1,ok,,0,2,68.83949999973993,1481.0,4,10.249000000000002,0.04999999999999716,10.221000000000004,10.216541999398032,707.0,419.0,1481.0,2,1,4,1761206583211,1761206583253,,,,,,,,,,,,,,,,355.0
g1_online_only,LEO_ONLY,12,0.0,200,2,2,ok,,0,2,53.207208002277184,1481.0,4,10.012,0.04200000000000159,9.674999999999997,9.673917000327492,708.0,416.0,1481.0,2,1,4,1761206583516,1761206583542,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,3,ok,,0,2,55.47525000292808,1481.0,4,9.947999999999997,0.03700000000000614,9.548000000000002,9.545458997308742,708.0,416.0,1481.0,2,1,4,1761206583816,1761206583845,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,4,ok,,0,2,49.29016700043576,1479.0,4,9.706999999999997,0.03499999999999659,9.759000000000015,9.759250002389308,707.0,416.0,1479.0,2,1,4,1761206584125,1761206584147,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,5,ok,,0,2,48.696917001507245,1481.0,4,9.788999999999994,0.03899999999998727,9.579999999999956,9.577249998983461,708.0,417.0,1481.0,2,1,4,1761206584427,1761206584452,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,6,ok,,0,2,52.61070800042944,1479.0,4,9.716000000000001,0.03699999999997772,9.242999999999995,9.240375002264045,707.0,417.0,1479.0,2,1,4,1761206584733,1761206584757,,,,,,,,,,,,,,,,355.0
g1_online_only,LEO_ONLY,12,0.0,200,2,7,ok,,0,2,53.78670799836982,1481.0,4,9.876999999999995,0.03700000000003456,9.457999999999998,9.456542000407353,708.0,417.0,1481.0,2,1,4,1761206585030,1761206585054,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,8,ok,,0,2,53.756709003209835,1480.0,4,9.655000000000001,0.033999999999991815,9.814999999999998,9.81991699882201,708.0,416.0,1480.0,2,1,4,1761206585338,1761206585364,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,9,ok,,0,2,51.941249999799766,1480.0,4,9.923999999999992,0.040000000000020464,9.441999999999979,9.43974999972852,708.0,416.0,1480.0,2,1,4,1761206585636,1761206585659,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,10,ok,,0,2,48.19720900195534,1483.0,4,9.563000000000006,0.03499999999996817,9.438999999999993,9.437374999833992,709.0,417.0,1483.0,2,1,4,1761206585924,1761206585949,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,11,ok,,0,2,50.8321250017616,1485.0,4,9.853999999999996,0.033999999999991815,10.239000000000004,10.236707999865757,709.0,419.0,1485.0,2,1,4,1761206586216,1761206586240,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,12,ok,,0,2,50.21429199769045,1483.0,4,9.707999999999998,0.03300000000001546,9.595000000000027,9.591791000275407,709.0,417.0,1483.0,2,1,4,1761206586508,1761206586533,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,13,ok,,0,2,56.43466699984856,1482.0,4,10.381,0.03799999999995407,9.826999999999998,9.82458400176256,709.0,416.0,1482.0,2,1,4,1761206586788,1761206586815,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,14,ok,,0,2,52.47070900077233,1481.0,4,9.910999999999998,0.03399999999993497,9.672000000000054,9.669791001215344,708.0,416.0,1481.0,2,1,4,1761206587074,1761206587100,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,15,ok,,0,2,50.27700000209734,1483.0,4,10.247000000000003,0.045000000000015916,9.875000000000028,9.869375000562286,709.0,417.0,1483.0,2,1,4,1761206587364,1761206587388,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,16,ok,,0,2,52.03958300262457,1483.0,4,9.869000000000003,0.03300000000001546,9.791000000000054,9.789750001800712,709.0,417.0,1483.0,2,1,4,1761206587646,1761206587670,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,17,ok,,0,2,56.0144160008349,1483.0,4,10.048000000000002,0.033000000000072305,9.773000000000025,9.770874999958323,709.0,417.0,1483.0,2,1,4,1761206587934,1761206587959,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,18,ok,,0,2,51.09245800122153,1481.0,4,9.809999999999995,0.03699999999997772,9.470000000000027,9.468750002270099,708.0,417.0,1481.0,2,1,4,1761206588229,1761206588252,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,200,2,19,ok,,0,2,55.72016600126517,1485.0,4,9.788000000000007,0.04100000000005366,10.004000000000019,10.002250000979984,709.0,419.0,1485.0,2,1,4,1761206588510,1761206588537,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,200,2,20,ok,,0,2,52.43870799677097,1482.0,4,9.80299999999999,0.03499999999996817,9.735000000000014,9.73316599993268,709.0,416.0,1482.0,2,1,4,1761206588811,1761206588837,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,1,ok,,0,2,50.803957998141414,1479.0,4,9.605,0.036999999999920874,9.739000000000033,9.745624996867264,707.0,416.0,1479.0,2,1,4,1761206589759,1761206589784,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,2,ok,,0,2,53.565832997264806,1481.0,4,9.85499999999999,0.03699999999980719,9.882999999999981,9.881292000500252,708.0,416.0,1481.0,2,1,4,1761206590055,1761206590079,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,3,ok,,0,2,50.61345799913397,1483.0,4,9.732999999999993,0.03499999999996817,9.801000000000045,9.797833001357503,709.0,417.0,1483.0,2,1,4,1761206590358,1761206590382,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,4,ok,,0,2,50.0986249971902,1477.0,4,9.899000000000001,0.03499999999996817,9.583999999999946,9.581583999533905,706.0,415.0,1477.0,2,1,4,1761206590656,1761206590681,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,5,ok,,0,2,57.17404200186138,1481.0,4,9.972000000000005,0.03600000000005821,10.075999999999965,10.072791999846231,707.0,418.0,1481.0,2,1,4,1761206590938,1761206590967,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,6,ok,,0,2,55.86570900049992,1481.0,4,9.847999999999995,0.03499999999996817,9.882000000000005,9.879291999823181,708.0,417.0,1481.0,2,1,4,1761206591243,1761206591270,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,7,ok,,0,2,54.56083299941383,1481.0,4,9.696999999999996,0.03999999999984993,9.773000000000025,9.770500000740867,708.0,417.0,1481.0,2,1,4,1761206591539,1761206591565,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,8,ok,,0,2,53.79512500076089,1477.0,4,9.740999999999996,0.031999999999811735,9.775999999999954,9.782249999261694,706.0,416.0,1477.0,2,1,4,1761206591852,1761206591877,,,,,,,,,,,,,,,,355.0
g1_online_only,LEO_ONLY,12,0.0,400,2,9,ok,,0,2,59.8636249997071,1479.0,4,10.051999999999996,0.03599999999994452,9.896000000000015,9.893667000142159,707.0,416.0,1479.0,2,1,4,1761206592149,1761206592177,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,10,ok,,0,2,50.700707997748395,1481.0,4,9.743999999999996,0.03799999999989723,9.890000000000043,9.888917000353104,708.0,417.0,1481.0,2,1,4,1761206592443,1761206592466,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,11,ok,,0,2,55.75875000067754,1483.0,4,9.948999999999995,0.03399999999987813,9.789999999999964,9.787499999220017,709.0,417.0,1483.0,2,1,4,1761206592744,1761206592771,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,12,ok,,0,2,53.99687500175787,1478.0,4,9.611000000000004,0.03700000000003456,10.090999999999951,10.09074999819859,706.0,417.0,1478.0,2,1,4,1761206593049,1761206593074,,,,,,,,,,,,,,,,355.0
g1_online_only,LEO_ONLY,12,0.0,400,2,13,ok,,0,2,46.90962500171736,1481.0,4,9.712999999999994,0.03499999999985448,9.605999999999995,9.604000002582325,708.0,417.0,1481.0,2,1,4,1761206593346,1761206593368,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,14,ok,,0,2,56.69320900051389,1483.0,4,10.044,0.03300000000001546,9.866000000000042,9.862708000582643,709.0,417.0,1483.0,2,1,4,1761206593644,1761206593672,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,15,ok,,0,2,47.78079199968488,1483.0,4,9.777000000000001,0.03600000000005821,9.685999999999979,9.682916999736335,709.0,417.0,1483.0,2,1,4,1761206593939,1761206593961,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,16,ok,,0,2,55.79587499960326,1481.0,4,9.887,0.03399999999987813,9.787000000000035,9.784958001546329,708.0,416.0,1481.0,2,1,4,1761206594220,1761206594247,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,17,ok,,0,2,51.90050000237534,1481.0,4,10.021000000000004,0.0340000000001055,9.894000000000005,9.894040998915443,708.0,416.0,1481.0,2,1,4,1761206594509,1761206594536,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,18,ok,,0,2,53.21633299899986,1479.0,4,9.763000000000002,0.03700000000003456,9.908000000000015,9.904667000228073,707.0,416.0,1479.0,2,1,4,1761206594801,1761206594827,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,400,2,19,ok,,0,2,53.32945899863262,1483.0,4,9.65499999999999,0.0420000000001437,9.976999999999919,9.975624998332933,709.0,417.0,1483.0,2,1,4,1761206595088,1761206595113,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,400,2,20,ok,,0,2,49.798041000030935,1479.0,4,9.517000000000007,0.033999999999991815,9.881999999999891,9.8803750006482,708.0,414.0,1479.0,2,1,4,1761206595370,1761206595393,,,,,,,,,,,,,,,,357.0
