scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,11,ok,,0,1,23.510833001637366,663,1,0.6890000000000072,2.074000000000524,2.697915999306133,1762007182963,1762007183175,,,,,,,,,,short,7956,749,331,164,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,12,ok,,0,1,23.586416000398458,663,1,2.1980000000000004,4.978000000000975,6.300625000221771,1762007191785,1762007192521,,,,,,,,,,short,6552,266,305,168,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,13,ok,,0,1,19.410791999689536,663,1,0.7259999999999991,2.3739999999997963,3.155374999550986,1762007200516,1762007200732,,,,,,,,,,short,7296,761,232,274,2
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,14,ok,,0,1,18.39091600049869,663,1,0.7250000000000014,2.3170000000000073,2.9500000000552973,1762007209445,1762007209641,,,,,,,,,,short,6050,704,336,153,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,15,ok,,0,1,21.540666000873898,663,1,0.7289999999999992,2.506999999999607,3.564792001270689,1762007217161,1762007217376,,,,,,,,,,short,7079,680,225,209,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,16,ok,,0,1,18.1847089988878,663,1,0.622000000000007,2.173000000000684,2.7715410014934605,1762007225918,1762007226122,,,,,,,,,,short,6516,640,217,191,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,17,ok,,0,1,21.193208000113373,663,1,0.9570000000000007,2.3739999999997963,3.389957999388571,1762007234049,1762007234262,,,,,,,,,,short,7615,628,213,206,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,18,ok,,0,1,15.542625000307453,663,1,0.6359999999999957,2.321999999999207,3.166416998283239,1762007242968,1762007243192,,,,,,,,,,short,5922,273,232,185,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,19,ok,,0,1,18.74333299929276,663,1,0.6460000000000008,2.481999999999971,3.46916600028635,1762007250478,1762007250669,,,,,,,,,,short,7399,488,211,223,0
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,20,ok,,0,1,19.28237500032992,663,1,0.6799999999999997,1.9940000000005966,2.6223330005450407,1762007259434,1762007259646,,,,,,,,,,short,6763,270,249,157,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,1,ok,,0,1,18.369999999777065,663,1,0.5879999999999939,1.9999999999990905,2.58291700083646,1762007268200,1762007268408,,,,,,,,,,short,7677,679,338,158,4
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,2,ok,,0,1,14.251374999730615,663,1,0.7600000000000051,2.1010000000005675,2.6325409999117255,1762007277196,1762007277400,,,,,,,,,,short,6460,371,221,198,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,3,ok,,0,1,17.626999999265536,663,1,0.6500000000000057,2.7120000000013533,4.386291999253444,1762007285553,1762007285754,,,,,,,,,,short,6295,610,268,165,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,4,ok,,0,1,19.06845799931034,663,1,0.6469999999999985,2.4039999999995416,3.30312500045693,1762007293513,1762007293723,,,,,,,,,,short,6768,507,313,243,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,5,ok,,0,1,27.161875001183944,663,1,2.0589999999999975,7.225999999999658,10.797208999065333,1762007301737,1762007302463,,,,,,,,,,short,7427,252,329,247,2
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,6,ok,,0,1,19.782999999733875,663,1,0.7349999999999994,2.709999999999127,3.7899580001976574,1762007310863,1762007311060,,,,,,,,,,short,7582,349,235,186,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,7,ok,,0,1,16.49474999976519,663,1,0.8859999999999957,2.0070000000005166,2.5447089992667316,1762007320158,1762007320374,,,,,,,,,,short,6710,419,349,185,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,8,ok,,0,1,17.451583998990827,663,1,0.7080000000000055,2.3499999999994543,3.313291999802459,1762007328459,1762007328684,,,,,,,,,,short,7956,366,276,196,5
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,9,ok,,0,1,21.103375000166125,663,1,0.8659999999999997,2.5,3.842541998892557,1762007337702,1762007338428,,,,,,,,,,short,5820,261,284,199,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,10,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007345544,,,,,,,,,,,short,6716,680,212,265,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,11,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007353949,,,,,,,,,,,short,6710,700,279,184,2
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,12,ok,,0,1,21.615916999508045,663,1,0.7070000000000007,3.7799999999997453,4.455541999050183,1762007362230,1762007362432,,,,,,,,,,short,6722,599,244,271,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,13,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007370882,,,,,,,,,,,short,6754,783,319,162,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,14,ok,,0,1,23.034958001517225,663,1,0.7809999999999988,2.3020000000005894,3.2581249997747364,1762007378963,1762007379188,,,,,,,,,,short,6752,501,253,192,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,15,ok,,0,1,16.96112500030722,663,1,0.7630000000000052,2.2539999999999054,2.941958000519662,1762007387519,1762007387727,,,,,,,,,,short,7661,661,234,243,3
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,16,ok,,0,1,16.782417000285932,663,1,0.6880000000000024,2.0159999999996217,2.712957999392529,1762007396524,1762007396726,,,,,,,,,,short,6474,421,217,254,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,17,ok,,0,1,29.70899999854737,663,1,2.1840000000000046,7.081999999999425,9.200791999319335,1762007404542,1762007405249,,,,,,,,,,short,5799,353,294,273,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,18,ok,,0,1,16.819624999698135,663,1,0.6160000000000032,2.2479999999995925,2.841707999323262,1762007412334,1762007412526,,,,,,,,,,short,6002,685,317,188,0
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,19,ok,,0,1,22.299999998722342,663,1,0.8700000000000045,2.7809999999990396,4.156833998422371,1762007420053,1762007420271,,,,,,,,,,short,6462,669,233,201,1
l3_short_window,SHORT_WINDOW,12.0,0.5,300,2,20,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007428317,,,,,,,,,,,short,5970,829,242,242,2
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,1,ok,,0,1,22.09033399958571,663,1,0.8229999999999933,2.4830000000001746,5.322500001057051,1762007435553,1762007435764,,,,,,,,,,short,6781,410,304,210,1
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,2,ok,,0,1,18.45220799987146,663,1,0.8310000000000031,3.2600000000002183,5.61954099975992,1762007444268,1762007444471,,,,,,,,,,short,8592,723,243,180,2
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,3,ok,,0,1,17.89449999887438,663,1,0.7060000000000031,2.4899999999997817,3.130458000669023,1762007454257,1762007454474,,,,,,,,,,short,7736,540,205,151,2
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,4,ok,,0,1,16.962249999778578,663,1,0.5910000000000011,1.9979999999995925,2.696249999644351,1762007463324,1762007463540,,,,,,,,,,short,7582,292,303,170,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,5,ok,,0,1,19.068834000790957,663,1,0.7120000000000033,2.1309999999994034,2.7855409989570035,1762007472663,1762007472877,,,,,,,,,,short,6625,442,220,274,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,6,ok,,0,1,21.589415999187622,663,1,0.6980000000000075,2.393000000000029,3.396791998966364,1762007481114,1762007481320,,,,,,,,,,short,6859,679,285,221,1
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,7,ok,,0,1,20.348375001049135,663,1,0.9140000000000015,2.5720000000001164,3.3831250002549496,1762007489415,1762007489640,,,,,,,,,,short,7398,749,205,171,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,8,ok,,0,1,21.589250000033644,663,1,0.6499999999999986,2.1989999999996144,3.160750000461121,1762007498136,1762007498338,,,,,,,,,,short,7027,479,274,172,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,9,ok,,0,1,23.74733400029072,663,1,1.6550000000000082,3.6129999999993743,4.874333000771003,1762007507116,1762007507836,,,,,,,,,,short,6624,750,284,267,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,10,ok,,0,1,16.703667000911082,663,1,0.6610000000000014,2.0989999999992506,2.9762919984932523,1762007515061,1762007515274,,,,,,,,,,short,7648,358,221,193,1
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,11,ok,,0,1,17.401541001163423,663,1,0.7229999999999919,2.2600000000002183,2.9522909990191692,1762007524562,1762007524771,,,,,,,,,,short,5817,517,255,216,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,12,ok,,0,1,22.046415999284363,663,1,0.8299999999999983,2.293999999999869,3.2224169990513474,1762007532249,1762007532446,,,,,,,,,,short,6751,662,261,230,1
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,13,ok,,0,1,18.88900000085414,663,1,0.6149999999999949,1.9870000000009895,2.6054169993585674,1762007540470,1762007540676,,,,,,,,,,short,7724,497,342,215,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,14,ok,,0,1,17.41924999987532,663,1,0.6060000000000016,2.264999999999418,3.155417000016314,1762007550080,1762007550288,,,,,,,,,,short,7777,712,287,268,4
