scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,1,ok,,0,1,16.77062499220483,660,1,0.4860000000000042,2.3769999999999953,2.738582988968119,1762075979072,1762075979284,light,0.8,80.0,0.0,2,2,1.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,2,ok,,0,1,14.502125006401911,660,1,0.4609999999999914,1.6030000000000086,2.3335829901043326,1762075980185,1762075980389,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,3,ok,,0,1,16.36070899257902,660,1,0.5450000000000017,1.5729999999999933,1.9695830123964697,1762075981380,1762075981578,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,4,ok,,0,1,13.522833993192762,661,1,0.4789999999999921,1.572000000000017,2.2038330062059686,1762075982490,1762075982697,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,5,ok,,0,1,15.233833008096553,661,1,0.602000000000011,1.5600000000000023,2.0361249917186797,1762075983507,1762075983701,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,6,ok,,0,1,14.726833993336186,661,1,0.4789999999999992,1.5619999999999976,2.038457998423837,1762075984499,1762075984706,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,7,ok,,0,1,14.81133401102852,661,1,0.4930000000000021,1.5710000000000122,1.9739999988814816,1762075985552,1762075985757,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,8,ok,,0,1,17.2941670025466,661,1,0.480000000000004,1.5360000000000014,2.2095829917816445,1762075986711,1762075986913,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,9,ok,,0,1,13.024500003666617,661,1,0.49100000000000676,1.5240000000000151,1.952708000317216,1762075987800,1762075987996,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,10,ok,,0,1,16.766250992077403,661,1,0.5519999999999925,1.5429999999999922,2.251582991448231,1762075988781,1762075988968,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,11,ok,,0,1,15.894084004685283,661,1,0.6269999999999953,1.5739999999999839,2.040583989582956,1762075989776,1762075990001,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,12,ok,,0,1,16.306625009747222,661,1,0.7349999999999923,1.8619999999999948,2.6797919999808073,1762075990813,1762075991020,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,13,ok,,0,1,14.29883400851395,661,1,0.664999999999992,1.6299999999999955,2.090082998620346,1762075991959,1762075992155,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,14,ok,,0,1,16.33508299710229,661,1,0.4750000000000014,1.546999999999997,2.2439580061472952,1762075992995,1762075993200,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,15,ok,,0,1,17.067708002286963,661,1,0.7220000000000013,1.6200000000000045,2.096750002237968,1762075994125,1762075994338,light,0.8,80.0,0.0,1,2,0.5,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,16,ok,,0,1,16.53433400497306,661,1,0.5159999999999982,1.5639999999999645,2.04004198894836,1762075995239,1762075995451,light,0.8,80.0,0.0,1,2,0.5,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,17,ok,,0,1,12.5765419943491,661,1,0.5389999999999944,1.492999999999995,1.9752919906750321,1762075996364,1762075996637,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,18,ok,,0,1,14.867541001876816,661,1,0.4690000000000012,1.5529999999999973,2.2316660033538938,1762075997475,1762075997686,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,19,ok,,0,1,14.909542005625553,661,1,0.6409999999999982,1.5810000000000173,2.0000840013381094,1762075998598,1762075998843,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,300,2,20,ok,,0,1,14.26125000580214,661,1,0.5830000000000055,1.4450000000000216,1.958041000762023,1762075999607,1762075999793,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,1,ok,,0,1,15.069250002852641,661,1,0.46699999999999164,1.539999999999992,1.9798749999608845,1762076000594,1762076000795,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,2,ok,,0,1,20.89383300335612,661,1,0.7740000000000009,1.657999999999987,2.1899580024182796,1762076001670,1762076001873,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,3,ok,,0,1,13.530292009818368,661,1,0.5560000000000045,1.507000000000005,1.9432499975664541,1762076002728,1762076002912,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,4,ok,,0,1,13.861375002306886,661,1,0.4789999999999992,1.556999999999988,2.2532090079039335,1762076003698,1762076003895,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,5,ok,,0,1,13.537542006815784,661,1,0.47099999999999653,1.4809999999999945,1.894291999633424,1762076004842,1762076005043,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,6,ok,,0,1,12.962833992787637,661,1,0.5380000000000038,1.554000000000002,2.24545800301712,1762076005820,1762076006020,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,7,ok,,0,1,14.291291998233646,661,1,0.5869999999999962,1.4410000000000025,1.8704159883782268,1762076006771,1762076006958,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,8,ok,,0,1,13.55316700937692,661,1,0.502999999999993,1.5829999999999984,2.2942909999983385,1762076007718,1762076007920,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,9,ok,,0,1,12.50512499245815,661,1,0.5489999999999924,1.6210000000000093,1.9252920028520748,1762076008804,1762076009001,light,0.8,80.0,0.0,0,1,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,10,ok,,0,1,11.340416996972635,661,1,0.45400000000000773,1.483000000000004,1.961125002708286,1762076009755,1762076009949,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,11,ok,,0,1,16.74687500053551,661,1,0.4750000000000014,1.5150000000000148,1.9200829992769286,1762076010860,1762076011079,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
l2_rain_fade,RAIN_FADE,14.0,0.1,400,2,12,ok,,0,1,14.02737500029616,661,1,0.5110000000000028,1.525999999999982,2.2285829909378663,1762076011963,1762076012165,light,0.8,80.0,0.0,0,2,0.0,0,0,,,,,,
