scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,26,ok,,,1,46.248458,120,1,23.659,10.412,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,27,ok,,,1,48.884291,120,1,25.235,10.536,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,28,ok,,,1,48.260875,120,1,24.508,10.462,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,29,ok,,,1,47.197959,120,1,23.941,10.562,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,30,ok,,,1,45.100542,120,1,23.988,10.268,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,31,ok,,,1,44.145459,120,1,23.957,10.317,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,32,ok,,,1,49.057542,120,1,24.275,10.528,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,33,ok,,,1,47.037959,120,1,24.306,10.323,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,34,ok,,,1,45.469917,120,1,24.113,10.731,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,35,ok,,,1,46.553916,120,1,24.166,11.377,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,36,ok,,,1,44.173958,120,1,23.776,10.724,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,37,ok,,,1,47.185958,120,1,24.528,10.65,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,38,ok,,,1,45.456167,120,1,23.774,11.532,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,39,ok,,,1,50.475417,120,1,24.593,10.622,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,40,ok,,,1,46.7755,120,1,23.776,10.666,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,41,ok,,,1,44.221584,120,1,24.085,11.942,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,42,ok,,,1,44.127042,120,1,24.23,10.784,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,43,ok,,,1,44.766875,120,1,23.676,10.371,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,44,ok,,,1,47.670583,120,1,24.475,11.558,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,45,ok,,,1,49.515542,120,1,24.254,10.419,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,46,ok,,,1,44.973833,120,1,25.214,10.668,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,47,ok,,,1,47.712375,120,1,23.753,10.777,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,48,ok,,,1,64.033167,120,1,38.463,11.317,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,49,ok,,,1,85.584167,120,1,53.996,19.416,1.7627E+12,1.7627E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,50,ok,,,1,48.530458,120,1,25.086,10.691,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,51,ok,,,1,47.275625,120,1,24.016,10.363,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,52,ok,,,1,47.266875,120,1,24.32,10.465,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,53,ok,,,1,47.114375,120,1,24.17,11.761,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,54,ok,,,1,48.4935,120,1,24.247,10.826,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,55,ok,,,1,44.516083,120,1,23.813,10.697,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,56,ok,,,1,48.608917,120,1,23.812,10.602,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,57,ok,,,1,47.048417,120,1,25.159,11.149,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,58,ok,,,1,46.725292,120,1,23.961,10.567,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,59,ok,,,1,43.827084,120,1,23.714,10.295,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,60,ok,,,1,47.973416,120,1,24.623,10.638,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,61,ok,,,1,49.062833,120,1,25.375,10.747,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,62,ok,,,1,45.835542,120,1,24.679,10.694,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,63,ok,,,1,45.04175,120,1,24.844,10.713,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,64,ok,,,1,48.645751,120,1,26.664,10.834,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,65,ok,,,1,45.601833,120,1,24.269,10.638,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,66,ok,,,1,48.788875,120,1,24.088,10.666,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,67,ok,,,1,46.005958,120,1,23.816,10.494,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,68,ok,,,1,44.058375,120,1,23.792,10.202,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,69,ok,,,1,45.566875,120,1,24.173,10.218,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,70,ok,,,1,44.455291,120,1,24.32,10.612,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,71,ok,,,1,47.253084,120,1,24.357,10.424,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,72,ok,,,1,47.156667,120,1,23.782,10.684,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,73,ok,,,1,47.602584,120,1,23.359,10.33,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,74,ok,,,1,48.837084,120,1,24.349,10.339,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,75,ok,,,1,50.128041,120,1,24.317,10.492,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,76,ok,,,1,46.439125,120,1,24.143,10.409,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,77,ok,,,1,43.962541,120,1,23.499,10.223,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,78,ok,,,1,47.825416,120,1,24.194,11.547,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,79,ok,,,1,46.104291,120,1,24.042,10.321,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,80,ok,,,1,49.730875,120,1,26.149,10.99,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,81,ok,,,2,386.929208,240,2,51.048,16.903,1.7627E+12,1.7627E+12,light,0.8,80,0,1,3,0.333333333,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,82,ok,,,1,43.925583,120,1,23.709,10.196,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,83,ok,,,1,46.107833,120,1,24.324,10.659,1.7627E+12,1.7627E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,84,ok,,,1,44.437958,120,1,24.085,10.522,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,85,ok,,,1,45.640875,120,1,24.07,10.036,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
s2_rain_fade,RAIN_FADE,14,,300,2,86,ok,,,1,52.667083,120,1,26.51,11.074,1.7627E+12,1.7627E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
