scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,2,ok,,0,1,76.13995799965778,1531.0,6,0.44000000000000483,0.025999999999953616,0.033999999999991815,0.033999999999991815,0.0,1762437855578,1762437855654,,,,,,,,,,short+long,7394,716,295,187,7,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,3,ok,,0,1,72.85024999964662,1533.0,6,0.42600000000000193,0.033999999999991815,0.030000000000001137,0.030000000000001137,0.0,1762437874815,1762437874888,,,,,,,,,,short+long,6077,486,234,234,2,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,4,ok,,0,1,69.55220799954986,1532.0,6,0.40900000000001313,0.036000000000029786,0.031999999999996476,0.031999999999996476,0.0,1762437896090,1762437896160,,,,,,,,,,short+long,6509,428,215,200,5,2
ren_short_window,SHORT_WINDOW,28.000,0.1/0.1/0.01,400,2,5,ok,,0,3,877.1045000003141,1794.0,8,1.7050000000000054,0.15200000000001523,0.12600000000000477,0.12600000000000477,0.0,1762437915481,1762437916358,,,,,,,,,,short+long,7302,797,226,168,6,2
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,200,2,1,ok,,0,1,87.64416699978028,1531.0,6,0.44299999999999073,0.049000000000006594,0.031999999999996476,0.031999999999996476,0.0,1762437939287,1762437939374,,,,,,,,,,short+short,5784,863,285,225,0,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,200,2,2,ok,,0,1,91.34441700007301,1530.0,6,0.5190000000000055,0.03100000000000591,0.04099999999999682,0.04099999999999682,0.0,1762437949242,1762437949333,,,,,,,,,,short+short,6313,776,286,276,1,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,200,2,3,ok,,0,1,94.48870799951692,1532.0,6,0.48799999999999955,0.02800000000002001,0.036000000000015575,0.036000000000015575,0.0,1762437960048,1762437960142,,,,,,,,,,short+short,6290,839,247,217,1,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,200,2,4,ok,,0,2,310.29204199967353,1657.0,7,2.6089999999999947,0.257000000000005,0.24499999999999034,0.24499999999999034,0.0,1762437970461,1762437970771,,,,,,,,,,short+short,6205,561,242,244,1,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,200,2,5,ok,,0,1,87.21150000019406,1532.0,6,0.47700000000001097,0.04300000000003479,0.030000000000001137,0.030000000000001137,0.0,1762437981634,1762437981721,,,,,,,,,,short+short,5942,551,212,251,4,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,300,2,1,ok,,0,1,85.32787500007544,1532.0,6,0.4789999999999992,0.042999999999977945,0.036000000000015575,0.036000000000015575,0.0,1762437992011,1762437992096,,,,,,,,,,short+short,6456,440,228,279,0,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,300,2,2,ok,,0,3,695.6075839998448,1794.0,8,3.066999999999993,0.20900000000000318,0.16899999999998272,0.16899999999998272,0.0,1762438003695,1762438004390,,,,,,,,,,short+short,7125,773,283,238,2,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,300,2,3,ok,,0,1,77.51570799973706,1527.0,6,0.902000000000001,0.0759999999999934,0.0689999999999884,0.0689999999999884,0.0,1762438014599,1762438014676,,,,,,,,,,short+short,6728,894,255,205,2,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,300,2,4,ok,,0,1,80.88716699967335,1529.0,6,0.4100000000000037,0.028999999999996362,0.03900000000000148,0.03900000000000148,0.0,1762438024833,1762438024914,,,,,,,,,,short+short,6476,573,344,187,3,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,300,2,5,ok,,0,1,95.3996250000273,1530.0,6,0.4619999999999962,0.03100000000000591,0.03900000000000148,0.03900000000000148,0.0,1762438035156,1762438035252,,,,,,,,,,short+short,5990,653,300,168,1,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,400,2,1,ok,,0,1,94.02804199999082,1531.0,6,0.5260000000000034,0.047000000000025466,0.05700000000000216,0.05700000000000216,0.0,1762438045836,1762438045930,,,,,,,,,,short+short,6298,338,325,205,2,3
ren_short_window,SHORT_WINDOW,32.000,0.1/0.1/0.01,400,2,2,ok,,0,1,93.02191700044204,1527.0,6,0.5359999999999943,0.0549999999999784,0.04599999999999227,0.04599999999999227,0.0,1762438055799,1762438055892,,,,,,,,,,short+short,6342,610,307,225,1,3
