scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l1_online_only,LEO_ONLY,12,0.0,200,2,1,ok,,0,1,15.462041999853682,660,1,0.49499999999999034,1.8160000000000025,2.2551250003743917,1762002809453,1762002809677,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,2,ok,,0,1,14.85704100014118,660,1,0.477999999999998,1.6670000000000016,2.3487090002163313,1762002810431,1762002810631,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,3,ok,,0,1,14.385582999238977,660,1,0.43100000000000094,1.5719999999999885,1.9879159990523476,1762002811452,1762002811655,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,4,ok,,0,1,13.134834000084084,661,1,0.5130000000000088,1.600999999999999,2.2945000000618165,1762002812459,1762002812660,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,5,ok,,0,1,14.136208999843802,661,1,0.4830000000000041,1.6550000000000011,2.079957999740145,1762002813521,1762002813718,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,6,ok,,0,1,14.427832998990198,661,1,0.4719999999999942,1.6709999999999923,2.37383400053659,1762002814516,1762002814711,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,7,ok,,0,1,15.729250000731554,661,1,0.49599999999999866,1.6749999999999972,2.1593750007014023,1762002815509,1762002815722,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,8,ok,,0,1,14.233957999749691,661,1,0.487999999999996,1.6599999999999966,2.1392080016084947,1762002816494,1762002816702,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,9,ok,,0,1,13.15450000038254,661,1,0.4519999999999982,1.527000000000001,1.9108750002487795,1762002817490,1762002817715,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,10,ok,,0,1,15.676332999646547,661,1,0.6840000000000046,1.9329999999999927,2.5853330007521436,1762002818535,1762002818765,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,11,ok,,0,1,13.750790998528828,661,1,0.5000000000000036,1.634999999999991,2.0855419988947688,1762002819560,1762002819765,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,12,ok,,0,1,17.458500000429922,661,1,0.5119999999999969,1.622000000000014,2.2768750004615868,1762002820548,1762002820755,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,13,ok,,0,1,17.7289169987489,661,1,0.4859999999999971,1.6850000000000307,2.118166999935056,1762002821511,1762002821724,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,14,ok,,0,1,13.683458999366849,661,1,0.4670000000000023,1.6259999999999764,2.320957999472739,1762002822522,1762002822726,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,15,ok,,0,1,14.24270800089289,661,1,0.7439999999999998,1.8029999999999973,2.3542500002804445,1762002823510,1762002823740,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,16,ok,,0,1,14.442042000155197,661,1,0.48400000000000176,1.6219999999999857,2.349917000174173,1762002824568,1762002824778,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,17,ok,,0,1,15.621832999386243,661,1,0.509999999999998,1.6029999999999518,2.0227080003678566,1762002825576,1762002825785,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,18,ok,,0,1,13.743374998739455,661,1,0.565999999999999,1.6760000000000161,2.2100410005805315,1762002826570,1762002826778,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,19,ok,,0,1,13.707666001209873,661,1,0.4749999999999943,1.6340000000000146,2.124041000570287,1762002827577,1762002827798,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,200,2,20,ok,,0,1,14.029541998752393,661,1,0.5989999999999931,1.7050000000000125,2.50899999991816,1762002828554,1762002828766,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,1,ok,,0,1,13.483583999914117,661,1,0.6569999999999894,1.6710000000000207,2.2252920007304056,1762002829625,1762002829842,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,2,ok,,0,1,14.972584000133793,661,1,0.5009999999999977,1.6260000000000332,2.3619580006197793,1762002830628,1762002830836,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,3,ok,,0,1,13.619249999464955,661,1,0.46399999999999864,1.6160000000000139,2.026957999987644,1762002831634,1762002831840,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,4,ok,,0,1,12.325833000431885,661,1,0.4859999999999971,1.6289999999999907,2.4091659997793613,1762002832623,1762002832832,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,5,ok,,0,1,12.827082999137929,661,1,0.4789999999999992,1.556999999999988,1.990583999941009,1762002833627,1762002833824,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,6,ok,,0,1,12.510292001024936,661,1,0.492999999999995,1.6410000000000196,2.3999170007300563,1762002834636,1762002834843,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,7,ok,,0,1,13.86883400118677,661,1,0.47399999999999665,1.6310000000000002,2.0762080002896255,1762002835630,1762002835831,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,8,ok,,0,1,16.478125000503496,661,1,0.5090000000000039,1.6310000000000002,2.3567079988424666,1762002836618,1762002836820,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,9,ok,,0,1,15.370499999335152,661,1,0.6179999999999986,1.6650000000000489,2.140583999789669,1762002837596,1762002837823,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,10,ok,,0,1,15.741958000944578,661,1,0.6540000000000035,1.6640000000000157,2.4313329995493405,1762002838601,1762002838805,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,11,ok,,0,1,14.690415999211837,661,1,0.46999999999999886,1.6550000000000296,2.043167000010726,1762002839598,1762002839806,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,12,ok,,0,1,15.28462500027672,661,1,0.6260000000000048,1.6740000000000066,2.4545409996790113,1762002840628,1762002840871,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,13,ok,,0,1,12.97799999883864,661,1,0.485000000000003,1.632000000000005,2.1044160002929857,1762002841623,1762002841831,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,14,ok,,0,1,13.738249999732943,661,1,0.49800000000000466,1.6049999999999898,2.352457999222679,1762002842601,1762002842816,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,15,ok,,0,1,13.330666999536334,661,1,0.48600000000000065,1.6589999999999918,2.1469999992405064,1762002843603,1762002843806,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,16,ok,,0,1,14.45149999926798,661,1,0.47300000000000253,1.6199999999999761,2.353124998990097,1762002844590,1762002844801,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,17,ok,,0,1,15.484417001061956,661,1,0.48699999999999477,1.6400000000000148,2.095750000080443,1762002845574,1762002845779,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,18,ok,,0,1,16.013833999750204,661,1,0.5229999999999997,1.6490000000000293,2.176334000978386,1762002846600,1762002846805,,,,,,,,,,,,,,,
l1_online_only,LEO_ONLY,12,0.0,400,2,19,ok,,0,1,13.698708000447368,661,1,0.4459999999999944,1.5270000000000152,1.9157919996359851,1762002847653,1762002847852,,,,,,,,,,,,,,,
