scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,25,ok,,0,1,35.559625,374,1,3.677,13.616,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,26,ok,,0,1,35.515292,374,1,3.62,13.621,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,27,ok,,0,1,36.418625,374,1,3.762,13.555,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,28,ok,,0,1,33.479667,374,1,3.604,13.087,1.76279E+12,1.76279E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,29,ok,,0,1,31.132875,374,1,3.74,13.337,1.76279E+12,1.76279E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,30,ok,,0,1,35.369584,374,1,3.83,14.498,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,31,ok,,0,1,33.886,374,1,3.598,13.787,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,32,ok,,0,1,37.60375,374,1,3.577,14.071,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,33,ok,,0,1,35.129,374,1,4.069,13.849,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,34,ok,,0,1,35.10825,374,1,3.684,13.141,1.76279E+12,1.76279E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,35,ok,,0,1,34.199417,374,1,3.456,13.219,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,36,ok,,0,1,33.092541,374,1,3.535,13.182,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,37,ok,,0,1,32.000167,373,1,3.637,13.668,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,38,ok,,0,1,34.964542,374,1,3.726,13.446,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
z2_rain_fade,RAIN_FADE,14,0.1,300,2,39,ok,,0,1,35.392042,373,1,3.692,13.577,1.76279E+12,1.76279E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
